epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.532,1.21785,2.24502,1.64746,1.281,0.61494,0.53465,0.62191,0.34225,0.19644,0.14851,0.08252,0.0379,1.46532,20.1633,1.77684,1.43533,0.0673882,0.000329412,0.000329412
2,38.2307,1.04016,1.53141,1.02608,1.15733,0.70608,0.79208,0.83668,0.57449,0.75975,0.69307,0.81365,0.41592,1.1258,1.6393,1.03142,1.18165,0.0343817,0.000656184,0.000656184
3,54.7725,1.00697,1.42269,0.94208,1.13182,0.79259,0.77228,0.83503,0.54502,0.72396,0.70297,0.73845,0.41432,1.11546,1.6578,1.06894,1.15782,0.00136851,0.000976356,0.000976356
4,71.1442,0.97878,1.35645,0.90325,1.11898,0.90199,0.81188,0.90544,0.63044,0.84501,0.80198,0.86115,0.53793,0.98496,1.29231,0.98104,1.06521,0.0009703,0.0009703,0.0009703
5,87.2881,0.96548,1.30794,0.8661,1.11361,0.81816,0.89094,0.88747,0.56023,0.79813,0.89109,0.85796,0.49485,1.15985,1.34646,0.96058,1.19163,0.0009604,0.0009604,0.0009604
6,103.421,0.93571,1.24111,0.80825,1.1035,0.96654,0.85816,0.94232,0.66219,0.94424,0.83836,0.92219,0.58108,0.97897,1.22708,0.78322,1.15504,0.0009505,0.0009505,0.0009505
7,119.469,0.89114,1.2124,0.76262,1.07827,0.91904,0.89914,0.93019,0.61641,0.9109,0.91099,0.92084,0.56772,1.06613,1.29409,0.80883,1.17197,0.0009406,0.0009406,0.0009406
8,135.568,0.8772,1.19045,0.74425,1.07621,0.93399,0.8405,0.93631,0.67118,0.91203,0.84158,0.91444,0.611,0.95212,1.01307,0.76055,1.04017,0.0009307,0.0009307,0.0009307
9,152.472,0.83803,1.17127,0.70695,1.06013,0.90128,0.90395,0.94079,0.67406,0.87222,0.90099,0.91903,0.6016,0.93379,1.10205,0.74734,1.02337,0.0009208,0.0009208,0.0009208
10,172.073,0.83067,1.12992,0.6895,1.05789,0.90737,0.87289,0.92519,0.67421,0.89146,0.87129,0.91848,0.58139,0.93035,1.13935,0.75467,1.04989,0.0009109,0.0009109,0.0009109
11,195.103,0.83516,1.15511,0.69822,1.06184,0.90713,0.87045,0.93033,0.68013,0.9142,0.89109,0.94297,0.60158,0.96508,1.26448,0.68283,1.10661,0.000901,0.000901,0.000901
12,217.845,0.81222,1.11144,0.68316,1.04314,0.9073,0.91089,0.93945,0.6971,0.92734,0.93069,0.95094,0.66341,0.91959,1.04652,0.65182,1.00214,0.0008911,0.0008911,0.0008911
13,241.275,0.7939,1.07965,0.64054,1.03778,0.91166,0.91965,0.92767,0.70974,0.90152,0.90637,0.93812,0.62395,0.83474,1.15958,0.66342,0.99276,0.0008812,0.0008812,0.0008812
14,259.551,0.79415,1.10856,0.64837,1.03449,0.86832,0.91406,0.93952,0.7303,0.87773,0.92397,0.94822,0.64867,0.84767,1.02957,0.64582,1.00445,0.0008713,0.0008713,0.0008713
15,276.633,0.76991,1.05488,0.6331,1.02372,0.90239,0.91533,0.94661,0.68289,0.92208,0.93735,0.95666,0.62745,0.8741,1.26898,0.68597,1.0206,0.0008614,0.0008614,0.0008614
16,293.04,0.75942,1.08438,0.62217,1.01476,0.93386,0.93069,0.95923,0.71173,0.93386,0.93069,0.95923,0.65188,0.8677,0.98538,0.63927,1.00893,0.0008515,0.0008515,0.0008515
17,310.471,0.77952,1.0316,0.61177,1.0282,0.90085,0.94059,0.94584,0.72689,0.91033,0.9505,0.95511,0.64994,0.83233,1.02226,0.60519,0.99813,0.0008416,0.0008416,0.0008416
18,327.492,0.78442,1.0335,0.6114,1.0234,0.94793,0.9012,0.96284,0.69318,0.94793,0.9012,0.96498,0.647,0.87347,0.99266,0.62757,0.99946,0.0008317,0.0008317,0.0008317
19,344.77,0.75198,1.03288,0.59634,1.01283,0.87515,0.94059,0.94249,0.70092,0.87515,0.94059,0.94404,0.64925,0.85021,1.07013,0.6686,0.98594,0.0008218,0.0008218,0.0008218
20,361.988,0.77611,1.06478,0.60813,1.01402,0.8683,0.91387,0.94868,0.70159,0.87759,0.92276,0.96075,0.61282,0.85029,1.33792,0.62714,0.99101,0.0008119,0.0008119,0.0008119
21,379.166,0.74652,1.01116,0.59391,1.01303,0.9553,0.94059,0.96283,0.74424,0.9553,0.94059,0.96283,0.66835,0.83041,0.89996,0.60347,0.99537,0.000802,0.000802,0.000802
22,396.187,0.72622,1.01742,0.58411,1.00698,0.92421,0.93069,0.95374,0.73033,0.92898,0.90661,0.9397,0.65054,0.8347,1.16164,0.56786,1.0173,0.0007921,0.0007921,0.0007921
23,412.308,0.72399,0.99157,0.5725,1.00563,0.95274,0.92079,0.94509,0.68449,0.94249,0.91089,0.93773,0.62573,0.88044,0.98189,0.58916,1.03082,0.0007822,0.0007822,0.0007822
24,429,0.72933,0.99952,0.57071,1.00578,0.92125,0.92658,0.95051,0.7504,0.91147,0.9174,0.94555,0.69516,0.79562,0.95387,0.58288,0.96319,0.0007723,0.0007723,0.0007723
25,445.39,0.7021,0.98429,0.55915,0.98683,0.90345,0.9265,0.95242,0.74207,0.91311,0.9364,0.96097,0.67003,0.77222,1.0001,0.56004,0.96142,0.0007624,0.0007624,0.0007624
26,461.497,0.71708,1.02055,0.55262,0.99849,0.91344,0.92079,0.94371,0.75007,0.93326,0.94059,0.95745,0.66114,0.71464,1.05632,0.58307,0.97475,0.0007525,0.0007525,0.0007525
27,477.619,0.70507,0.95468,0.55416,0.98722,0.94756,0.89447,0.95516,0.73427,0.93822,0.91089,0.94621,0.66137,0.78376,1.01969,0.57503,0.95659,0.0007426,0.0007426,0.0007426
28,496.302,0.70495,0.98269,0.54966,0.99661,0.92544,0.87129,0.93677,0.73871,0.93596,0.88119,0.94365,0.66502,0.76184,0.98526,0.55529,0.99652,0.0007327,0.0007327,0.0007327
29,515.843,0.68742,0.97989,0.5373,0.98241,0.93109,0.93069,0.9507,0.72063,0.94411,0.94059,0.94686,0.6588,0.82461,1.0493,0.57138,1.00037,0.0007228,0.0007228,0.0007228
30,532.699,0.67496,0.94712,0.52789,0.98134,0.92302,0.93069,0.95781,0.75886,0.9132,0.92079,0.94712,0.68076,0.76099,1.01547,0.51365,0.99139,0.0007129,0.0007129,0.0007129
31,549.569,0.69108,0.97613,0.53492,0.99604,0.93048,0.92764,0.9457,0.74081,0.94041,0.93754,0.95328,0.67705,0.79427,1.03003,0.54937,1.02588,0.000703,0.000703,0.000703
32,566.216,0.68623,0.97946,0.53378,0.99641,0.93881,0.93069,0.95901,0.75916,0.93881,0.93069,0.95901,0.66839,0.72231,0.9919,0.53299,0.96539,0.0006931,0.0006931,0.0006931
33,585.523,0.6665,0.93505,0.52071,0.97713,0.89769,0.95567,0.95147,0.76242,0.89769,0.95567,0.95147,0.66993,0.73535,1.10923,0.57582,0.96093,0.0006832,0.0006832,0.0006832
34,608.396,0.66299,0.99926,0.52537,0.97601,0.9138,0.94461,0.94697,0.74087,0.92335,0.95412,0.95459,0.68441,0.79301,1.14537,0.54247,1.02279,0.0006733,0.0006733,0.0006733
35,631.031,0.67612,0.9237,0.50983,0.98557,0.93252,0.95779,0.96174,0.76513,0.93252,0.95779,0.96291,0.7072,0.75202,0.92774,0.52366,0.99818,0.0006634,0.0006634,0.0006634
36,649.926,0.68374,0.94291,0.5105,0.97795,0.93073,0.93123,0.95728,0.75668,0.92083,0.92133,0.947,0.66783,0.75054,1.16445,0.52044,0.9878,0.0006535,0.0006535,0.0006535
37,668.323,0.66328,0.91999,0.50311,0.97637,0.91266,0.9505,0.95669,0.7499,0.92217,0.9604,0.9654,0.66369,0.77681,0.97379,0.51287,1.00468,0.0006436,0.0006436,0.0006436
38,687.276,0.64238,0.91844,0.4959,0.96257,0.89687,0.94717,0.93853,0.71139,0.90624,0.95697,0.94951,0.65372,0.79961,0.98653,0.53242,1.04049,0.0006337,0.0006337,0.0006337
39,704.144,0.64892,0.91244,0.50172,0.97107,0.92177,0.94059,0.95158,0.74227,0.93148,0.9505,0.96191,0.71272,0.75847,0.94912,0.50624,1.01476,0.0006238,0.0006238,0.0006238
40,721.11,0.64029,0.91151,0.49397,0.96719,0.94983,0.93724,0.9575,0.74813,0.95986,0.94704,0.9615,0.692,0.75192,1.02821,0.50255,0.96981,0.0006139,0.0006139,0.0006139
41,740.083,0.63119,0.89401,0.4821,0.95877,0.94999,0.94059,0.95902,0.76092,0.95999,0.9505,0.96349,0.69325,0.72811,1.12068,0.5016,0.98953,0.000604,0.000604,0.000604
42,759.357,0.64312,0.89502,0.48407,0.96751,0.91788,0.94059,0.95168,0.74924,0.91788,0.94059,0.95657,0.68968,0.79215,1.09074,0.52104,1.01956,0.0005941,0.0005941,0.0005941
43,776.793,0.64021,0.90637,0.47994,0.97383,0.92212,0.93784,0.95307,0.75009,0.93181,0.94714,0.95927,0.68535,0.78634,0.98951,0.50349,0.97907,0.0005842,0.0005842,0.0005842
44,794.466,0.62667,0.88362,0.47866,0.96084,0.93948,0.92227,0.95696,0.74986,0.94954,0.93151,0.96413,0.69981,0.77903,0.89924,0.51304,1.01245,0.0005743,0.0005743,0.0005743
45,813.732,0.6273,0.91288,0.48049,0.95919,0.90046,0.9505,0.9648,0.75954,0.90046,0.9505,0.9648,0.70111,0.72961,1.03769,0.50202,0.96889,0.0005644,0.0005644,0.0005644
46,836.4,0.62265,0.87447,0.47188,0.96219,0.93967,0.92534,0.94257,0.74466,0.95036,0.94773,0.96155,0.66956,0.77791,0.99936,0.50457,1.00732,0.0005545,0.0005545,0.0005545
47,859.331,0.63358,0.89579,0.47668,0.9593,0.93943,0.93069,0.95718,0.77282,0.94975,0.94059,0.96573,0.70012,0.73818,0.96977,0.48974,1.03529,0.0005446,0.0005446,0.0005446
48,880.256,0.61812,0.89298,0.4726,0.95955,0.9598,0.9604,0.9698,0.76409,0.9598,0.9604,0.9698,0.69331,0.72853,1.03314,0.46062,1.0144,0.0005347,0.0005347,0.0005347
49,897.015,0.59909,0.90466,0.46002,0.95027,0.91479,0.95669,0.96273,0.76871,0.91479,0.95669,0.96273,0.6964,0.70488,0.94846,0.49631,0.99614,0.0005248,0.0005248,0.0005248
50,914.052,0.60598,0.89128,0.45353,0.96295,0.92632,0.93069,0.95651,0.77005,0.92632,0.93069,0.95097,0.6998,0.71734,1.06995,0.48765,1.01495,0.0005149,0.0005149,0.0005149
51,930.806,0.61043,0.86265,0.46319,0.96665,0.9457,0.93069,0.95802,0.77208,0.95576,0.94059,0.96379,0.7048,0.71419,0.95764,0.4965,0.98634,0.000505,0.000505,0.000505
52,947.746,0.6066,0.84696,0.45708,0.9451,0.92006,0.91163,0.94246,0.77552,0.93005,0.92153,0.95572,0.69892,0.71195,1.02058,0.51862,0.99442,0.0004951,0.0004951,0.0004951
53,964.618,0.60866,0.8766,0.45529,0.94922,0.89997,0.94059,0.94641,0.75626,0.90945,0.9505,0.9581,0.66582,0.70181,1.0452,0.52929,0.98053,0.0004852,0.0004852,0.0004852
54,984.771,0.61384,0.85495,0.45714,0.95271,0.94036,0.93677,0.9504,0.74528,0.9503,0.94667,0.96187,0.67418,0.73009,1.12563,0.50772,0.99986,0.0004753,0.0004753,0.0004753
55,1001.82,0.59392,0.85086,0.4446,0.94392,0.92222,0.93912,0.94109,0.76779,0.94163,0.95843,0.96455,0.70091,0.70227,0.98985,0.48548,1.02939,0.0004654,0.0004654,0.0004654
56,1019.33,0.60199,0.87511,0.4506,0.94733,0.9451,0.93069,0.94989,0.78818,0.95516,0.94059,0.96043,0.71401,0.66651,0.95337,0.47682,0.94503,0.0004555,0.0004555,0.0004555
57,1036.03,0.60521,0.86789,0.44861,0.95144,0.93189,0.94828,0.96002,0.78853,0.93189,0.94828,0.96002,0.71016,0.68702,1.11188,0.47297,0.98507,0.0004456,0.0004456,0.0004456
58,1052.57,0.59001,0.83612,0.43833,0.94915,0.94166,0.95893,0.96605,0.78278,0.94166,0.95893,0.96605,0.68548,0.70096,1.00689,0.46831,0.99655,0.0004357,0.0004357,0.0004357
59,1069.08,0.58449,0.8364,0.42523,0.94571,0.93709,0.9604,0.96464,0.77849,0.93709,0.9604,0.96464,0.70341,0.69835,0.98148,0.45887,0.97267,0.0004258,0.0004258,0.0004258
60,1085.64,0.57926,0.84747,0.42519,0.93977,0.95847,0.9604,0.96875,0.77777,0.95847,0.9604,0.96875,0.71174,0.71198,0.9373,0.45808,0.98941,0.0004159,0.0004159,0.0004159
61,1103.44,0.57236,0.83719,0.43013,0.93847,0.95823,0.94059,0.96755,0.79175,0.95823,0.94059,0.96755,0.70783,0.67504,1.06317,0.44958,0.99224,0.000406,0.000406,0.000406
62,1120.49,0.59096,0.85777,0.44473,0.94363,0.95669,0.9505,0.96634,0.77268,0.95669,0.9505,0.96948,0.69347,0.73739,1.04203,0.48759,1.02261,0.0003961,0.0003961,0.0003961
63,1138.13,0.58256,0.84248,0.43206,0.93464,0.96511,0.94059,0.96954,0.79921,0.95495,0.93069,0.95662,0.71102,0.66099,0.95769,0.43906,0.96347,0.0003862,0.0003862,0.0003862
